Package,Declared,Discovered
google.golang.org/appengine,Apache-2.0,Apache-2.0 AND BSD-3-Clause AND NOASSERTION
google.golang.org/protobuf,BSD-3-Clause AND OTHER,BSD-3-Clause AND NOASSERTION
debian/libopenexr-dev,NOASSERTION AND BSD-3-Clause,BSD-3-Clause
gopkg.in/mgo.v2,BSD-2-Clause,BSD-2-Clause AND BSD-3-Clause
go.uber.org/zap,MIT,MIT AND NOASSERTION
google.golang.org/api,BSD-3-Clause,Apache-2.0 AND BSD-3-Clause AND BSD-3-Clause AND CC-BY-3.0 AND CC-BY-4.0 AND BSD-3-Clause AND NOASSERTION AND CC-BY-3.0 AND CC-BY-4.0 AND MIT AND NOASSERTION
cloud.google.com/go,Apache-2.0,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND BSD-2-Clause AND NOASSERTION
google.golang.org/genproto,Apache-2.0,Apache-2.0 AND Apache-2.0 AND NOASSERTION AND NOASSERTION
gopkg.in/yaml.v2,Apache-2.0,Apache-2.0 AND Apache-2.0 AND MIT AND MIT
google.golang.org/grpc,Apache-2.0,Apache-2.0 AND NOASSERTION
gopkg.in/yaml.v3,Apache-2.0,Apache-2.0 AND Apache-2.0 AND MIT AND MIT
k8s.io/client-go,Apache-2.0,Apache-2.0 AND BSD-3-Clause AND NOASSERTION
google.golang.org/cloud,Apache-2.0,Apache-2.0 AND NOASSERTION
go.uber.org/atomic,MIT,MIT AND NOASSERTION
go.step.sm/cli-utils,Apache-2.0,Apache-2.0 AND BSD-2-Clause AND MIT
k8s.io/kubernetes,Apache-2.0,Apache-2.0 AND Apache-2.0 AND CC-BY-4.0 AND NOASSERTION AND Apache-2.0 AND MIT AND Apache-2.0 AND NOASSERTION AND BSD-3-Clause AND MIT AND NOASSERTION
debian/libip4tc2,NOASSERTION,Artistic-1.0-Perl AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND NOASSERTION
